price,bedrooms,bathrooms,sqft_living,sqft_lot,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,basement,renovated
861990,5,2.75,3595,5639,0,0,3,9,3595,0,2014,0,98053,47.6848,-122.016,3625,5639,0,0
685000,3,1.0,1570,2280,0,0,3,7,1570,0,1922,0,98119,47.6413,-122.36399999999999,1580,2640,0,0
309000,3,1.0,1280,9656,0,0,4,6,920,360,1959,0,98058,47.4485,-122.175,1340,8808,1,0
488000,3,2.5,3160,13603,0,0,3,8,3160,0,2003,0,98019,47.7443,-121.977,3050,9232,0,0
210490,3,1.0,990,8528,0,0,3,6,990,0,1966,0,98023,47.3066,-122.37100000000001,1228,8840,0,0
785000,4,2.5,2290,13416,0,0,4,9,2290,0,1981,0,98007,47.6194,-122.15100000000001,2680,13685,0,0
450000,3,1.75,1250,5963,0,0,4,7,1250,0,1953,0,98115,47.6796,-122.301,970,5100,0,0
228000,3,1.0,1190,9199,0,0,3,7,1190,0,1955,0,98148,47.4258,-122.322,1190,9364,0,0
600000,3,1.75,1410,4080,0,0,4,7,1000,410,1950,0,98117,47.6808,-122.384,1410,4080,1,0
585000,2,1.75,1980,8550,0,0,3,7,990,990,1981,0,98117,47.6989,-122.369,1480,6738,1,0
920000,5,2.25,2730,6000,0,0,3,8,2130,600,1927,0,98105,47.6571,-122.281,2730,6000,1,0
885000,4,2.5,2830,5000,0,0,3,9,2830,0,1995,0,98105,47.6597,-122.29,1950,5000,0,0
292500,4,2.5,2250,4495,0,0,3,7,2250,0,2008,0,98042,47.3663,-122.11399999999999,2250,4500,0,0
301000,3,2.5,2420,4750,0,0,3,8,2420,0,2003,0,98042,47.3663,-122.12200000000001,2690,4750,0,0
951000,5,3.25,3250,14342,0,4,4,8,3250,0,1968,0,98008,47.588,-122.116,2960,11044,0,0
430000,4,3.0,1850,9976,0,0,3,8,1850,0,1991,0,98059,47.5059,-122.149,2270,8542,0,0
289000,3,1.75,1260,8400,0,0,3,7,1260,0,1954,0,98148,47.4366,-122.335,1290,8750,0,0
505000,3,1.75,2519,8690,0,0,5,8,2519,0,1973,0,98166,47.4428,-122.344,2500,9500,0,0
549000,3,1.75,1540,1044,0,0,3,8,1540,0,2014,0,98115,47.6765,-122.32,1580,3090,0,0
425000,3,2.25,1660,6000,0,0,3,7,1110,550,1979,0,98122,47.6113,-122.29700000000001,1440,4080,1,0
317625,3,2.75,2770,3809,0,0,5,7,1770,1000,1925,0,98144,47.5747,-122.304,1440,4000,1,0
975000,4,2.5,2720,11049,0,0,3,10,2720,0,1989,0,98004,47.5815,-122.19200000000001,2750,11049,0,0
287000,4,2.5,2240,4648,0,0,3,7,2240,0,2005,0,98001,47.3378,-122.257,2221,4557,0,0
204000,3,1.0,1000,12070,0,0,4,7,1000,0,1968,0,98042,47.3621,-122.11,1010,12635,0,0
325000,3,2.0,1260,5612,0,0,4,7,1260,0,1972,0,98034,47.7362,-122.179,1640,4745,0,0
571000,4,2.0,2750,7807,0,0,5,7,2250,500,1916,0,98125,47.7168,-122.287,1510,7807,1,0
360000,4,2.5,2380,5000,0,0,3,8,2380,0,2005,0,98038,47.3608,-122.036,2420,5000,0,0
380000,4,1.75,1760,7300,0,0,3,7,880,880,1956,0,98008,47.6034,-122.125,1680,7500,1,0
480000,3,1.0,1040,5060,0,0,3,7,1040,0,1941,0,98116,47.5636,-122.39399999999999,890,5060,0,0
410000,3,1.0,1410,5060,0,0,4,7,910,500,1956,0,98133,47.7073,-122.34,1130,5693,1,0
390000,3,2.5,2350,5100,0,0,3,8,2350,0,2003,0,98038,47.3512,-122.008,2350,5363,0,0
360000,4,2.5,1900,5889,0,0,3,7,1900,0,1992,0,98038,47.349,-122.031,1870,6405,0,0
355000,2,1.0,2020,6720,0,0,3,7,1010,1010,1948,0,98118,47.5474,-122.291,1720,6720,1,0
356000,3,1.5,1680,8712,0,0,3,8,1680,0,1964,0,98059,47.4811,-122.149,1850,8797,0,0
315000,3,1.0,960,6634,0,0,3,6,960,0,1952,0,98125,47.7264,-122.31,1570,7203,0,0
940000,3,1.5,2140,3600,0,0,3,9,1900,240,1925,0,98119,47.6337,-122.365,2020,4800,1,0
305000,5,2.25,2660,8400,0,0,5,7,2660,0,1961,0,98092,47.2909,-122.189,1590,8165,0,0
461000,3,3.25,2770,6278,0,0,3,9,1980,790,2006,0,98056,47.5228,-122.199,1900,7349,1,0
215000,2,2.25,1610,2040,0,0,4,7,1610,0,1979,0,98056,47.518,-122.194,1950,2025,0,0
335000,2,1.75,1030,1066,0,0,3,7,765,265,2006,0,98136,47.5394,-122.387,1030,1106,1,0
243500,4,2.5,1980,7403,0,0,3,7,1980,0,1988,0,98023,47.2897,-122.37200000000001,1980,7510,0,0
1099880,5,2.75,3520,6353,0,0,4,10,3520,0,2001,0,98199,47.6506,-122.391,2520,6250,0,0
153000,3,1.0,1200,10500,0,0,3,7,1200,0,1962,0,98023,47.321999999999996,-122.351,1350,10500,0,0
430000,3,1.5,1580,5000,0,0,3,8,1290,290,1939,0,98117,47.687,-122.38600000000001,1570,4500,1,0
700000,3,1.5,1580,5000,0,0,3,8,1290,290,1939,0,98117,47.687,-122.38600000000001,1570,4500,1,0
905000,4,2.5,3300,10250,0,0,3,7,2390,910,1946,1991,98040,47.5873,-122.249,1950,6045,1,1
247500,3,1.75,1960,15681,0,0,3,7,1960,0,1967,0,98032,47.3576,-122.277,1750,15616,0,0
199000,4,1.5,1160,6400,0,0,4,7,1160,0,1975,0,98023,47.3036,-122.37799999999999,1160,6400,0,0
850830,3,2.5,2070,13241,0,0,5,9,1270,800,1910,0,98102,47.6415,-122.315,2200,4500,1,0
555000,3,2.0,1980,3478,0,0,4,7,1440,540,1929,0,98117,47.6775,-122.37200000000001,1610,3478,1,0
1088000,3,2.5,2920,8113,0,0,3,8,2920,0,1950,2010,98004,47.5814,-122.196,2370,8113,0,1
375000,3,2.5,2340,10005,0,0,4,8,1460,880,1978,0,98058,47.4431,-122.133,2250,8162,1,0
460000,3,1.0,1670,4005,0,0,4,7,1170,500,1939,0,98117,47.6878,-122.38,1240,4005,1,0
188500,2,1.75,1240,2493,0,0,4,8,1240,0,1985,0,98198,47.3813,-122.322,1270,4966,0,0
470000,5,1.75,2030,12342,0,0,4,7,2030,0,1942,0,98052,47.6417,-122.109,2500,9433,0,0
597750,4,2.5,2310,9624,0,0,3,8,2310,0,1984,0,98027,47.5386,-122.053,1940,9636,0,0
570000,3,1.75,1260,3328,0,0,5,6,700,560,1905,0,98103,47.6823,-122.34899999999999,1380,3536,1,0
272500,3,1.75,1540,12600,0,0,4,7,1160,380,1980,0,98038,47.3624,-122.031,1540,11656,1,0
329950,3,1.75,2080,5969,0,2,3,7,1080,1000,1971,0,98108,47.5474,-122.295,2090,5500,1,0
480000,4,2.5,3230,16171,0,3,3,9,2520,710,2001,0,98001,47.3183,-122.25299999999999,2640,8517,1,0
518500,3,3.5,1590,1102,0,0,3,8,1590,0,2010,0,98103,47.6824,-122.34700000000001,1620,3166,0,0
205425,2,1.0,880,6780,0,0,4,6,880,0,1945,0,98178,47.5009,-122.24799999999999,1190,6780,0,0
171800,4,2.0,1570,9600,0,0,3,6,1570,0,1950,0,98168,47.4965,-122.303,1880,9000,0,0
535000,4,1.0,1610,2982,0,0,4,7,1610,0,1925,0,98144,47.586999999999996,-122.294,1610,4040,0,0
660000,3,2.5,2400,6474,0,2,3,8,1560,840,1964,0,98177,47.7728,-122.38600000000001,2340,10856,1,0
391500,3,2.0,1450,9132,0,0,3,7,1450,0,1987,0,98034,47.7288,-122.226,1580,9104,0,0
395000,2,1.0,770,6000,0,0,3,6,770,0,1953,0,98117,47.6999,-122.36399999999999,1710,6000,0,0
445000,4,1.75,2100,4400,0,0,5,7,1720,380,1924,0,98118,47.5299,-122.266,1850,4400,1,0
770000,3,2.25,2910,10204,0,0,3,9,2910,0,1990,0,98052,47.6897,-122.098,2700,13992,0,0
445000,3,2.25,2100,8201,0,2,3,8,1620,480,1967,0,98178,47.5091,-122.244,2660,8712,1,0
260000,4,2.25,2160,8811,0,0,3,8,1360,800,1978,0,98023,47.3129,-122.39,2090,8400,1,0
822500,5,3.5,2320,4960,0,0,5,7,1720,600,1926,0,98103,47.6763,-122.352,1700,4960,1,0
430000,4,2.5,2070,4310,0,0,3,7,2070,0,2004,0,98065,47.5319,-121.85,1970,3748,0,0
212000,3,1.75,1060,7875,0,0,4,7,1060,0,1986,0,98092,47.2761,-122.152,1420,7680,0,0
660500,4,2.25,2010,9603,0,0,3,8,1440,570,1986,0,98027,47.5343,-122.054,2060,9793,1,0
453246,3,2.5,2010,2287,0,0,3,8,1390,620,2014,0,98029,47.5517,-121.99799999999999,1690,1662,1,0
675000,4,3.5,2140,2278,0,0,3,9,2140,0,2005,0,98107,47.6734,-122.38,1540,2285,0,0
220000,4,1.75,2020,7840,0,0,3,7,1010,1010,1968,0,98003,47.3309,-122.29899999999999,1750,8140,1,0
452000,4,2.25,2590,10002,0,0,4,8,1340,1250,1968,0,98028,47.7689,-122.266,1550,10436,1,0
382500,2,1.0,1190,4440,0,0,3,6,1190,0,1981,0,98125,47.7135,-122.287,1060,5715,0,0
519950,3,2.25,1170,1249,0,0,3,8,1170,0,2014,0,98107,47.6722,-122.381,1350,1310,0,0
665000,2,1.0,1110,3200,0,0,3,7,1110,0,1925,0,98119,47.6338,-122.35799999999999,1170,3600,0,0
527700,5,2.5,2820,9375,0,0,4,8,1550,1270,1968,0,98006,47.5707,-122.12799999999999,2820,9375,1,0
205000,3,1.0,1610,8579,0,0,4,7,1010,600,1962,0,98058,47.4563,-122.171,1610,8579,1,0
420000,3,1.0,1060,8097,0,0,4,7,940,120,1923,0,98133,47.7144,-122.351,1560,7940,1,0
500000,4,2.25,2030,8517,0,0,4,8,1380,650,1961,0,98006,47.5495,-122.17399999999999,2230,8824,1,0
890000,4,1.0,2550,4000,0,0,3,8,2370,180,1905,0,98109,47.6354,-122.353,2200,4000,1,0
511000,3,1.0,1430,3455,0,0,3,7,980,450,1947,0,98103,47.6873,-122.336,1450,4599,1,0
532170,3,2.0,1360,3090,0,0,3,8,1360,0,1990,0,98103,47.6838,-122.353,1500,3090,0,0
560000,3,1.0,1110,5000,0,0,3,7,1110,0,1947,0,98107,47.655,-122.359,1420,5000,0,0
282950,3,1.0,1250,8200,0,0,4,7,1250,0,1954,0,98003,47.3255,-122.304,1680,8633,0,0
350000,1,1.0,700,5100,0,0,3,7,700,0,1942,0,98115,47.678999999999995,-122.3,1010,5100,0,0
215000,3,1.0,1180,7669,0,0,4,7,1180,0,1967,0,98058,47.4479,-122.176,1190,7669,0,0
320000,4,2.75,2640,7500,0,0,3,8,1620,1020,1967,0,98023,47.3135,-122.369,1980,7875,1,0
247000,3,2.0,1270,7198,0,0,3,7,1270,0,1916,2013,98022,47.2086,-121.99600000000001,1160,7198,0,1
320000,4,1.75,1760,11180,0,0,4,8,1760,0,1968,0,98059,47.4715,-122.118,1730,11180,0,0
255000,5,2.25,2060,8632,0,0,3,7,1030,1030,1962,0,98146,47.4877,-122.335,1010,11680,1,0
438000,3,1.75,1780,9660,0,0,3,7,1780,0,1962,0,98034,47.7171,-122.193,1200,9660,0,0
900000,3,2.5,3400,16603,0,0,3,10,3400,0,2000,0,98075,47.6012,-122.023,3400,12601,0,0
441000,3,2.75,1910,7280,0,0,3,7,1160,750,1979,0,98034,47.7319,-122.22399999999999,1710,8152,1,0
370000,3,1.75,1580,7000,0,0,3,7,1180,400,1976,0,98034,47.7209,-122.16799999999999,1640,7500,1,0
269950,2,1.75,1340,7250,0,0,5,5,700,640,1949,0,98198,47.408,-122.32700000000001,1830,9750,1,0
807100,4,2.5,2680,4499,0,0,3,9,2680,0,1999,0,98006,47.565,-122.125,2920,4500,0,0
653000,3,2.5,2680,9750,0,0,4,8,1610,1070,1979,0,98034,47.7028,-122.23100000000001,2480,8750,1,0
371500,3,2.0,1370,8336,0,0,5,7,1370,0,1964,0,98133,47.7458,-122.331,1770,7288,0,0
272000,3,1.75,2160,7140,0,0,4,7,1670,490,1978,0,98023,47.3026,-122.374,1930,7350,1,0
313000,3,1.5,1340,7912,0,0,3,7,1340,0,1955,0,98133,47.7658,-122.339,1480,7940,0,0
673000,4,2.25,2590,8190,0,0,4,8,2590,0,1980,0,98006,47.5619,-122.125,2260,8335,0,0
425000,3,2.5,1120,1100,0,0,3,8,820,300,2008,0,98122,47.6106,-122.31,1590,1795,1,0
399950,5,2.75,1970,5400,0,0,3,7,1320,650,1986,0,98144,47.5868,-122.30799999999999,1280,2150,1,0
385000,3,1.0,1220,4800,0,0,3,6,1220,0,1901,0,98122,47.6101,-122.307,1200,4800,0,0
269950,3,1.5,1950,7560,0,2,4,7,1320,630,1975,0,98022,47.1976,-121.999,1950,8941,1,0
330000,2,1.0,1350,8220,0,0,3,7,1060,290,1949,0,98177,47.7224,-122.35799999999999,1540,8280,1,0
260000,3,2.5,1670,5797,0,0,3,7,1670,0,1988,0,98030,47.3505,-122.179,1670,6183,0,0
470000,4,3.0,2380,5125,0,0,4,7,1680,700,1925,0,98126,47.5384,-122.376,1410,5375,1,0
589000,4,3.0,2440,9600,0,0,5,7,2440,0,1961,0,98034,47.7044,-122.2,2290,9600,0,0
163500,2,1.5,1050,3419,0,0,3,7,1050,0,1996,0,98038,47.3848,-122.039,1050,3417,0,0
835000,4,2.75,3130,13412,0,0,3,9,2140,990,1993,0,98052,47.6993,-122.102,2260,9984,1,0
269000,4,1.75,1490,10000,0,0,4,8,1100,390,1969,0,98023,47.3099,-122.37899999999999,2190,8910,1,0
560000,3,2.5,1900,8744,0,0,3,8,1900,0,1987,0,98074,47.62,-122.04299999999999,2030,8744,0,0
615000,4,1.0,1330,2400,0,0,4,6,1330,0,1901,0,98103,47.65,-122.34,1330,4400,0,0
585188,3,2.25,2230,10026,0,0,3,8,1430,800,1975,0,98052,47.6647,-122.15299999999999,2230,9340,1,0
305000,3,1.75,1650,9480,0,0,3,7,1220,430,1977,0,98034,47.726000000000006,-122.191,1540,8400,1,0
166950,3,1.0,1190,8820,0,0,3,6,1190,0,1959,0,98058,47.4616,-122.184,1230,7980,0,0
799000,3,2.5,2140,9897,0,0,4,8,2140,0,1959,0,98040,47.5505,-122.219,2680,10083,0,0
400000,3,2.5,2180,7508,0,0,4,7,1420,760,1962,0,98133,47.7606,-122.336,1900,7818,1,0
230000,3,1.0,1060,10228,0,0,3,7,1060,0,1948,0,98155,47.7481,-122.3,1570,10228,0,0
256883,3,2.5,1690,5025,0,0,3,8,1690,0,2003,0,98023,47.2779,-122.34700000000001,2550,5001,0,0
423000,4,2.0,1970,6480,0,0,5,7,1130,840,1920,0,98108,47.5511,-122.31200000000001,1500,6480,1,0
465000,3,2.5,2150,4084,0,0,3,8,2150,0,2007,0,98126,47.5488,-122.37200000000001,1750,2385,0,0
210000,3,1.0,860,11725,0,0,4,6,860,0,1943,0,98056,47.5093,-122.184,1300,9514,0,0
297000,3,2.5,1940,14952,0,0,3,8,1940,0,1994,0,98042,47.3777,-122.165,2030,10450,0,0
470000,3,1.0,1010,5000,0,0,3,7,1010,0,1952,0,98107,47.675,-122.39399999999999,1680,5000,0,0
226500,3,1.5,1300,7370,0,0,4,7,900,400,1976,0,98023,47.3025,-122.37,1430,7500,1,0
274250,3,1.0,910,8450,0,0,4,6,910,0,1962,0,98059,47.4787,-122.15799999999999,1400,8040,0,0
840000,4,1.75,2480,11010,0,0,4,9,1630,850,1966,0,98040,47.5378,-122.219,2770,10744,1,0
677900,3,2.5,2440,4587,0,0,3,8,2440,0,2010,0,98052,47.7073,-122.11399999999999,2750,4587,0,0
425000,3,1.0,1010,5864,0,0,3,7,1010,0,1915,0,98116,47.5733,-122.381,1290,5000,0,0
180250,2,0.75,900,9600,0,0,3,6,900,0,1941,0,98166,47.4604,-122.339,1250,14280,0,0
464000,6,3.0,2300,3404,0,0,3,7,1600,700,1920,1994,98133,47.7067,-122.34299999999999,1560,1312,1,1
320000,4,2.25,1550,7579,0,0,3,8,1550,0,1993,0,98038,47.354,-122.04700000000001,1630,6397,0,0
625504,3,2.25,1270,1566,0,0,3,8,1060,210,2014,0,98105,47.6647,-122.28399999999999,1160,1327,1,0
592500,4,2.5,2240,12032,0,0,3,9,2240,0,1983,0,98074,47.6143,-122.01700000000001,2520,12368,0,0
477000,4,2.75,1720,6270,0,0,3,8,1720,0,1978,0,98118,47.5458,-122.26799999999999,2130,8700,0,0
280000,2,1.0,850,16400,0,0,3,6,850,0,1923,0,98168,47.4889,-122.29899999999999,1100,14459,0,0
445838,3,2.5,2250,5692,0,0,3,8,2250,0,2000,0,98146,47.5133,-122.37899999999999,1320,5390,0,0
467000,2,1.5,1320,10800,0,0,4,8,1320,0,1947,0,98177,47.7145,-122.367,2120,12040,0,0
686000,4,2.5,2760,6440,0,0,3,10,2760,0,1999,0,98075,47.5836,-122.02600000000001,3070,8127,0,0
279950,3,2.0,1750,9750,0,0,3,7,1350,400,1961,0,98198,47.398,-122.29899999999999,1900,10125,1,0
325000,3,2.25,2220,16020,0,0,4,8,1780,440,1966,0,98030,47.3758,-122.21700000000001,2080,9583,1,0
328000,3,2.25,2020,8379,0,0,3,7,2020,0,1994,0,98038,47.3828,-122.023,2020,8031,0,0
390000,3,2.25,1250,7500,0,0,5,7,1250,0,1942,0,98146,47.5123,-122.37299999999999,1280,7392,0,0
479950,2,2.0,1510,6516,0,0,3,8,1510,0,2005,0,98053,47.7076,-122.01299999999999,1640,6009,0,0
264950,4,2.25,1720,9753,0,0,4,7,1120,600,1978,0,98023,47.2922,-122.37100000000001,1510,9753,1,0
235000,3,1.0,1430,15246,0,0,4,7,980,450,1961,0,98031,47.4075,-122.214,1960,13068,1,0
516500,3,2.5,1480,4729,0,0,3,7,1480,0,2004,0,98053,47.6794,-122.03399999999999,2250,4729,0,0
655000,2,1.75,1450,15798,1,4,3,7,1230,220,1915,1978,98166,47.4497,-122.375,2030,13193,1,1
500000,4,2.75,2280,15347,0,0,5,7,2280,0,1960,0,98059,47.5218,-122.164,2280,15347,0,0
315000,6,2.75,2940,7350,0,0,3,8,1780,1160,1978,0,98023,47.3103,-122.339,2120,8236,1,0
213000,2,1.0,1000,10200,0,0,3,6,1000,0,1961,0,98024,47.5687,-121.899,1150,13702,0,0
475000,3,1.5,2480,5280,0,0,5,7,1620,860,1947,0,98108,47.5575,-122.303,2090,4800,1,0
410000,4,1.0,1970,4740,0,0,3,7,1670,300,1904,2005,98122,47.6136,-122.303,1510,4740,1,1
225000,3,1.75,1430,8505,0,0,4,7,1430,0,1968,0,98003,47.3173,-122.319,1190,8640,0,0
210000,2,1.0,830,6000,0,0,3,6,830,0,1940,0,98126,47.5308,-122.376,830,4960,0,0
455000,2,1.0,1430,5000,0,0,2,7,1430,0,1925,0,98115,47.6727,-122.29899999999999,1450,3750,0,0
225000,3,1.0,1300,8316,0,0,4,6,1300,0,1954,0,98002,47.3221,-122.21600000000001,1260,8316,0,0
480000,2,1.0,1030,3060,0,2,4,7,790,240,1918,0,98103,47.6779,-122.353,1390,3060,1,0
363000,3,2.5,2740,11872,0,0,3,9,2740,0,1990,0,98023,47.3076,-122.395,2570,10377,0,0
181000,2,1.5,720,5120,0,0,3,6,720,0,1954,0,98106,47.5218,-122.35700000000001,1150,2566,0,0
250000,4,2.0,2010,7312,0,0,4,7,2010,0,1976,0,98002,47.2785,-122.213,2010,7650,0,0
481000,3,1.75,1560,3000,0,0,4,6,770,790,1918,0,98103,47.6846,-122.345,1390,3000,1,0
260000,3,2.0,1810,7209,0,0,4,7,1240,570,1978,0,98032,47.3656,-122.27799999999999,1750,7209,1,0
455000,4,2.5,3360,7685,0,0,3,9,3360,0,2001,0,98058,47.4369,-122.111,3060,6567,0,0
349500,3,1.0,1400,3538,0,0,3,7,800,600,1953,0,98118,47.5405,-122.27,1620,6331,1,0
245000,3,2.5,1730,7442,0,0,3,7,1730,0,1987,0,98030,47.3507,-122.178,1630,6458,0,0
592500,2,2.0,1420,9191,0,2,5,7,1420,0,1928,0,98115,47.6979,-122.32,1420,6816,0,0
385000,4,1.75,2360,7620,0,0,4,7,1180,1180,1955,0,98106,47.5278,-122.345,1910,7620,1,0
315000,3,1.75,1580,11455,0,0,4,7,1200,380,1974,0,98059,47.4756,-122.147,1550,10650,1,0
255000,3,1.0,1230,10170,0,0,3,7,1230,0,1979,0,98045,47.4437,-121.772,1380,10098,0,0
693000,4,2.5,2460,4425,0,0,3,8,2460,0,2006,0,98052,47.7048,-122.109,2990,5659,0,0
780000,3,1.0,1660,4400,0,0,3,8,1460,200,1911,0,98112,47.6362,-122.302,1660,4400,1,0
237000,3,1.75,1270,8470,0,0,4,7,1270,0,1960,0,98198,47.4207,-122.29,1600,8470,0,0
425000,2,1.0,770,5040,0,0,3,5,770,0,1930,0,98144,47.5964,-122.29899999999999,1330,2580,0,0
369900,1,0.75,760,10079,1,4,5,5,760,0,1936,0,98070,47.4683,-122.43799999999999,1230,14267,0,0
290000,4,2.5,1700,7280,0,0,4,7,1700,0,1988,0,98031,47.4045,-122.171,1950,7475,0,0
285000,3,1.0,1120,10701,0,0,3,7,1120,0,1954,0,98106,47.5544,-122.35799999999999,1130,6350,0,0
415000,2,1.0,1070,4500,0,0,3,7,1070,0,1937,0,98115,47.6802,-122.29,1320,4465,0,0
272500,3,2.5,2070,9900,0,0,3,8,1420,650,1979,0,98023,47.2988,-122.37100000000001,2070,8250,1,0
436000,2,1.0,1040,7538,0,0,4,7,1040,0,1939,0,98133,47.7107,-122.352,1440,7530,0,0
210000,3,1.0,1700,11390,0,0,4,7,1700,0,1967,0,98003,47.3271,-122.323,1350,8164,0,0
236000,3,1.0,1300,5898,0,0,3,7,1300,0,1961,0,98178,47.5053,-122.255,1320,7619,0,0
331000,3,1.75,1080,1306,0,0,3,7,580,500,1954,2003,98199,47.6601,-122.4,1440,2225,1,1
365000,3,2.5,2653,4510,0,0,3,8,2653,0,2006,0,98031,47.4145,-122.166,2653,4927,0,0
450000,3,2.0,2290,16258,0,0,5,8,2290,0,1960,0,98058,47.4672,-122.165,1660,10530,0,0
405000,3,1.75,2390,6000,0,0,3,6,1240,1150,1908,0,98118,47.5362,-122.26799999999999,2020,6000,1,0
304900,4,1.75,2600,11325,0,0,4,7,1610,990,1969,0,98031,47.3954,-122.206,1720,11088,1,0
170000,2,1.0,860,5265,0,0,3,6,860,0,1931,0,98178,47.5048,-122.272,1650,8775,0,0
330000,3,3.0,2420,13959,0,0,4,8,1740,680,1988,0,98028,47.7486,-122.23,2570,13300,1,0
370000,4,2.5,2720,8666,0,0,3,9,2720,0,1992,0,98030,47.3846,-122.169,2410,8100,0,0
467000,5,2.25,2500,13500,0,0,3,7,1850,650,1979,0,98072,47.7564,-122.14399999999999,2300,9750,1,0
405000,3,1.75,1670,6720,0,0,3,7,1140,530,1980,0,98034,47.7198,-122.193,1670,7320,1,0
500000,2,1.0,1640,14100,0,0,4,7,1140,500,1954,0,98006,47.5712,-122.14299999999999,1520,13527,1,0
389999,4,2.5,1890,15770,0,0,4,7,1890,0,1968,0,98166,47.4281,-122.34299999999999,2410,15256,0,0
630000,4,1.75,2950,9025,0,2,4,8,1780,1170,1975,0,98034,47.7128,-122.223,2120,9600,1,0
360000,4,2.5,2160,9528,0,0,3,9,2160,0,1992,0,98001,47.3341,-122.255,2280,9937,0,0
